lambda n k
1725 3.518647 0
1730 3.518188 0
1735 3.517733 0
1740 3.517281 0
1745 3.516834 0
1750 3.516392 0
1755 3.515953 0
1760 3.515518 0
1765 3.515088 0
1770 3.514662 0
1775 3.514239 0
1780 3.51382 0
1785 3.513405 0
1790 3.512994 0
1795 3.512588 0
1800 3.512184 0
1805 3.511784 0
1810 3.511388 0
1815 3.510995 0
1820 3.510606 0
1825 3.51022 0
1830 3.509838 0
1835 3.509459 0
1840 3.509083 0
1845 3.508711 0
1850 3.508342 0
1855 3.507977 0
1860 3.507614 0
1865 3.507254 0
1870 3.506898 0
1875 3.506545 0
1880 3.506194 0
1885 3.505847 0
1890 3.505504 0
1895 3.505162 0
1900 3.504824 0
1905 3.504489 0
1910 3.504156 0
1915 3.503826 0
1920 3.503499 0
1925 3.503175 0
1930 3.502853 0
1935 3.502534 0
1940 3.502218 0
1945 3.501904 0
1950 3.501593 0
1955 3.501285 0
1960 3.500979 0
1965 3.500676 0
1970 3.500375 0
1975 3.500077 0
1980 3.49978 0
1985 3.499486 0
1990 3.499195 0
1995 3.498906 0
2000 3.49862 0
2005 3.498335 0
2010 3.498054 0
2015 3.497774 0
2020 3.497496 0
2025 3.497221 0
2030 3.496947 0
2035 3.496676 0
2040 3.496407 0
2045 3.496141 0
2050 3.495875 0
2055 3.495613 0
2060 3.495352 0
2065 3.495093 0
2070 3.494837 0
2075 3.494582 0
2080 3.494329 0
2085 3.494079 0
2090 3.49383 0
2095 3.493583 0
2100 3.493338 0
