lambda n k
1775 2.816873 0
1780 2.816682 0
1785 2.816491 0
1790 2.816303 0
1795 2.816116 0
1800 2.815931 0
1805 2.815747 0
1810 2.815566 0
1815 2.815386 0
1820 2.815207 0
1825 2.815029 0
1830 2.814854 0
1835 2.81468 0
1840 2.814507 0
1845 2.814336 0
1850 2.814167 0
1855 2.813998 0
1860 2.813831 0
1865 2.813666 0
1870 2.813502 0
1875 2.81334 0
1880 2.813179 0
1885 2.813018 0
1890 2.81286 0
1895 2.812703 0
1900 2.812547 0
1905 2.812392 0
1910 2.812239 0
1915 2.812087 0
1920 2.811936 0
1925 2.811786 0
1930 2.811638 0
1935 2.811491 0
1940 2.811345 0
1945 2.8112 0
1950 2.811056 0
1955 2.810914 0
1960 2.810773 0
1965 2.810632 0
1970 2.810493 0
1975 2.810355 0
1980 2.810219 0
1985 2.810083 0
1990 2.809948 0
1995 2.809815 0
2000 2.809682 0
2005 2.80955 0
2010 2.80942 0
2015 2.80929 0
2020 2.809162 0
2025 2.809034 0
2030 2.808908 0
2035 2.808782 0
2040 2.808658 0
2045 2.808534 0
2050 2.808411 0
2055 2.808289 0
2060 2.808169 0
2065 2.808049 0
2070 2.80793 0
2075 2.807811 0
2080 2.807694 0
2085 2.807578 0
2090 2.807462 0
2095 2.807348 0
2100 2.807234 0
