lambda n k
1.735999999999999943e+02 2.228499999999999925e+00 4.943499999999999544e-04
1.746800000000000068e+02 2.205499999999999794e+00 3.976599999999999840e-04
1.757700000000000102e+02 2.184800000000000075e+00 3.262499999999999884e-04
1.768799999999999955e+02 2.166100000000000136e+00 2.739299999999999743e-04
1.780099999999999909e+02 2.149000000000000021e+00 2.358100000000000072e-04
1.791399999999999864e+02 2.133199999999999985e+00 2.080800000000000000e-04
1.802999999999999829e+02 2.118599999999999817e+00 1.878200000000000008e-04
1.814600000000000080e+02 2.104900000000000215e+00 1.728400000000000054e-04
1.826399999999999864e+02 2.092200000000000060e+00 1.615400000000000017e-04
1.838400000000000034e+02 2.080099999999999838e+00 1.527400000000000047e-04
1.850600000000000023e+02 2.068799999999999972e+00 1.456100000000000103e-04
1.862800000000000011e+02 2.058100000000000041e+00 1.395400000000000091e-04
1.875300000000000011e+02 2.047899999999999832e+00 1.341500000000000082e-04
1.887900000000000205e+02 2.038199999999999790e+00 1.291499999999999951e-04
1.900699999999999932e+02 2.028999999999999915e+00 1.243600000000000087e-04
1.913700000000000045e+02 2.020199999999999996e+00 1.196900000000000009e-04
1.926899999999999977e+02 2.011800000000000033e+00 1.150699999999999943e-04
1.940200000000000102e+02 2.003699999999999815e+00 1.104500000000000013e-04
1.953699999999999761e+02 1.995900000000000007e+00 1.058299999999999947e-04
1.967400000000000091e+02 1.988399999999999945e+00 1.012199999999999965e-04
1.981299999999999955e+02 1.981200000000000072e+00 9.661200000000000267e-05
1.995399999999999920e+02 1.974299999999999944e+00 9.203399999999999331e-05
2.009699999999999989e+02 1.967600000000000016e+00 8.750200000000000350e-05
2.024199999999999875e+02 1.961100000000000065e+00 8.303800000000000016e-05
2.039000000000000057e+02 1.954900000000000082e+00 7.866500000000000662e-05
2.053899999999999864e+02 1.948800000000000088e+00 7.440699999999999419e-05
2.069099999999999966e+02 1.943000000000000060e+00 7.028800000000000195e-05
2.084399999999999977e+02 1.937300000000000022e+00 6.633300000000000340e-05
2.100000000000000000e+02 1.931799999999999962e+00 6.256599999999999694e-05
2.115900000000000034e+02 1.926399999999999890e+00 5.901100000000000133e-05
2.131999999999999886e+02 1.921200000000000019e+00 5.568999999999999705e-05
2.148299999999999841e+02 1.916199999999999903e+00 5.262300000000000083e-05
2.164899999999999807e+02 1.911299999999999999e+00 4.982799999999999794e-05
2.181800000000000068e+02 1.906500000000000083e+00 4.731700000000000115e-05
2.198900000000000148e+02 1.901899999999999924e+00 4.509699999999999869e-05
2.216299999999999955e+02 1.897299999999999986e+00 4.316700000000000192e-05
2.233900000000000148e+02 1.892900000000000027e+00 4.151700000000000247e-05
2.251899999999999977e+02 1.888600000000000056e+00 4.012799999999999934e-05
2.270099999999999909e+02 1.884400000000000075e+00 3.897300000000000108e-05
2.288600000000000136e+02 1.880400000000000071e+00 3.801200000000000130e-05
2.307400000000000091e+02 1.876400000000000068e+00 3.720000000000000298e-05
2.326599999999999966e+02 1.872500000000000053e+00 3.648800000000000031e-05
2.346100000000000136e+02 1.868700000000000028e+00 3.581999999999999925e-05
2.365900000000000034e+02 1.864999999999999991e+00 3.514500000000000317e-05
2.385999999999999943e+02 1.861299999999999955e+00 3.441500000000000169e-05
2.406500000000000057e+02 1.857799999999999896e+00 3.359199999999999957e-05
2.427299999999999898e+02 1.854300000000000059e+00 3.264899999999999861e-05
2.448500000000000227e+02 1.850999999999999979e+00 3.157800000000000158e-05
2.470100000000000193e+02 1.847599999999999909e+00 3.038200000000000151e-05
2.492000000000000171e+02 1.844400000000000039e+00 2.908500000000000020e-05
2.514399999999999977e+02 1.841199999999999948e+00 2.772499999999999967e-05
2.537099999999999795e+02 1.838100000000000067e+00 2.634799999999999913e-05
2.560299999999999727e+02 1.835099999999999953e+00 2.500999999999999941e-05
2.583899999999999864e+02 1.832100000000000062e+00 2.376299999999999932e-05
2.607900000000000205e+02 1.829199999999999937e+00 2.265100000000000048e-05
2.632399999999999523e+02 1.826400000000000023e+00 2.170599999999999852e-05
2.657399999999999523e+02 1.823600000000000110e+00 2.093999999999999941e-05
2.682800000000000296e+02 1.820799999999999974e+00 2.034100000000000057e-05
2.708700000000000045e+02 1.818100000000000049e+00 1.987799999999999840e-05
2.735099999999999909e+02 1.815499999999999892e+00 1.950099999999999845e-05
2.762100000000000364e+02 1.812999999999999945e+00 1.914899999999999911e-05
2.789599999999999795e+02 1.810400000000000009e+00 1.875799999999999896e-05
2.817599999999999909e+02 1.808000000000000052e+00 1.827099999999999837e-05
2.846200000000000045e+02 1.805500000000000105e+00 1.764699999999999892e-05
2.875400000000000205e+02 1.803199999999999914e+00 1.686300000000000101e-05
2.905199999999999818e+02 1.800799999999999956e+00 1.592200000000000104e-05
2.935600000000000023e+02 1.798499999999999988e+00 1.484700000000000032e-05
2.966700000000000159e+02 1.796300000000000008e+00 1.367800000000000016e-05
2.998399999999999750e+02 1.794100000000000028e+00 1.246699999999999939e-05
3.030800000000000409e+02 1.792000000000000037e+00 1.126900000000000002e-05
3.063899999999999864e+02 1.789800000000000058e+00 1.013100000000000007e-05
3.097799999999999727e+02 1.787800000000000056e+00 9.094699999999999508e-06
3.132400000000000091e+02 1.785700000000000065e+00 8.186600000000000528e-06
3.167800000000000296e+02 1.783800000000000052e+00 7.419899999999999890e-06
3.204000000000000341e+02 1.781800000000000050e+00 6.795400000000000194e-06
3.241000000000000227e+02 1.779900000000000038e+00 6.304299999999999932e-06
3.278899999999999864e+02 1.778000000000000025e+00 5.930800000000000035e-06
3.317699999999999818e+02 1.776200000000000001e+00 5.655999999999999719e-06
3.357400000000000091e+02 1.774299999999999988e+00 5.460099999999999612e-06
3.398100000000000023e+02 1.772599999999999953e+00 5.324800000000000247e-06
3.439800000000000182e+02 1.770799999999999930e+00 5.234199999999999793e-06
3.482599999999999909e+02 1.769099999999999895e+00 5.175300000000000238e-06
3.526399999999999864e+02 1.767400000000000082e+00 5.138300000000000423e-06
3.571299999999999955e+02 1.765800000000000036e+00 5.115800000000000215e-06
3.617300000000000182e+02 1.764199999999999990e+00 5.102799999999999662e-06
3.664600000000000364e+02 1.762599999999999945e+00 5.095800000000000407e-06
3.713199999999999932e+02 1.761100000000000110e+00 5.092499999999999947e-06
3.763000000000000114e+02 1.759500000000000064e+00 5.091599999999999668e-06
3.814199999999999591e+02 1.758000000000000007e+00 5.092099999999999917e-06
3.866800000000000068e+02 1.756599999999999939e+00 5.093599999999999818e-06
3.920899999999999750e+02 1.755100000000000104e+00 5.095599999999999968e-06
3.976499999999999773e+02 1.753700000000000037e+00 5.098100000000000368e-06
4.033700000000000045e+02 1.752399999999999958e+00 5.100800000000000359e-06
4.092599999999999909e+02 1.750999999999999890e+00 5.103699999999999941e-06
4.153200000000000500e+02 1.749700000000000033e+00 5.106799999999999962e-06
4.215600000000000023e+02 1.748399999999999954e+00 5.109899999999999984e-06
4.280000000000000000e+02 1.747100000000000097e+00 5.113100000000000224e-06
4.346299999999999955e+02 1.745900000000000007e+00 5.116299999999999617e-06
4.414799999999999613e+02 1.744599999999999929e+00 5.119600000000000077e-06
4.485400000000000205e+02 1.743500000000000050e+00 5.122800000000000317e-06
4.558300000000000409e+02 1.742299999999999960e+00 5.126099999999999930e-06
4.633700000000000045e+02 1.741100000000000092e+00 5.129300000000000171e-06
4.711500000000000341e+02 1.739999999999999991e+00 5.132400000000000192e-06
4.792100000000000364e+02 1.738899999999999890e+00 5.135599999999999585e-06
4.875399999999999636e+02 1.737800000000000011e+00 5.138699999999999606e-06
4.961700000000000159e+02 1.736799999999999899e+00 5.141700000000000255e-06
5.050999999999999659e+02 1.735800000000000010e+00 5.144700000000000057e-06
5.143700000000000045e+02 1.734799999999999898e+00 5.147699999999999859e-06
5.239800000000000182e+02 1.733800000000000008e+00 5.150600000000000288e-06
5.339600000000000364e+02 1.732799999999999896e+00 5.153399999999999652e-06
5.443299999999999272e+02 1.731899999999999995e+00 5.156199999999999862e-06
5.551100000000000136e+02 1.730900000000000105e+00 5.158899999999999853e-06
5.663200000000000500e+02 1.729999999999999982e+00 5.161599999999999844e-06
5.779900000000000091e+02 1.729200000000000070e+00 5.164199999999999616e-06
5.901599999999999682e+02 1.728299999999999947e+00 5.166700000000000016e-06
6.028500000000000227e+02 1.727500000000000036e+00 5.169200000000000415e-06
6.161000000000000227e+02 1.726699999999999902e+00 5.171599999999999749e-06
6.299400000000000546e+02 1.725899999999999990e+00 5.173999999999999929e-06
6.444199999999999591e+02 1.725100000000000078e+00 5.176299999999999890e-06
6.595800000000000409e+02 1.724299999999999944e+00 5.178599999999999851e-06
6.754700000000000273e+02 1.723600000000000021e+00 5.180799999999999593e-06
6.921399999999999864e+02 1.722900000000000098e+00 5.183000000000000182e-06
7.096599999999999682e+02 1.722199999999999953e+00 5.185000000000000332e-06
7.280900000000000318e+02 1.721500000000000030e+00 5.187099999999999854e-06
7.475000000000000000e+02 1.720900000000000096e+00 5.189100000000000005e-06
7.679800000000000182e+02 1.720199999999999951e+00 5.190999999999999936e-06
7.896100000000000136e+02 1.719600000000000017e+00 5.192799999999999647e-06
8.124900000000000091e+02 1.719000000000000083e+00 5.194699999999999578e-06
8.367400000000000091e+02 1.718399999999999928e+00 5.196399999999999918e-06
8.624800000000000182e+02 1.717899999999999983e+00 5.198100000000000257e-06
8.898500000000000227e+02 1.717300000000000049e+00 5.199799999999999750e-06
9.190199999999999818e+02 1.716800000000000104e+00 5.201399999999999870e-06
9.501599999999999682e+02 1.716299999999999937e+00 5.202899999999999771e-06
9.834900000000000091e+02 1.715799999999999992e+00 5.204399999999999672e-06
1.019200000000000159e+03 1.715300000000000047e+00 5.205800000000000200e-06
1.057700000000000045e+03 1.714900000000000091e+00 5.207199999999999882e-06
1.099200000000000045e+03 1.714399999999999924e+00 5.208500000000000192e-06
1.144000000000000000e+03 1.713999999999999968e+00 5.209799999999999654e-06
1.192700000000000045e+03 1.713600000000000012e+00 5.210999999999999744e-06
1.245700000000000045e+03 1.713200000000000056e+00 5.212199999999999834e-06
1.303600000000000136e+03 1.712900000000000089e+00 5.213299999999999705e-06
1.367099999999999909e+03 1.712499999999999911e+00 5.214400000000000423e-06
1.437200000000000045e+03 1.712199999999999944e+00 5.215400000000000075e-06
1.514899999999999864e+03 1.711899999999999977e+00 5.216399999999999726e-06
1.601399999999999864e+03 1.711600000000000010e+00 5.217300000000000006e-06
1.698399999999999864e+03 1.711200000000000054e+00 5.251000000000000208e-06
1.700000000000000000e+03 1.711200000000000054e+00 5.266000000000000065e-06
1.857299999999999955e+03 1.709100000000000064e+00 6.898699999999999696e-06
2.014600000000000136e+03 1.706900000000000084e+00 8.847599999999999790e-06
2.171900000000000091e+03 1.704599999999999893e+00 1.114499999999999917e-05
2.329099999999999909e+03 1.702099999999999946e+00 1.382500000000000062e-05
2.486400000000000091e+03 1.699600000000000000e+00 1.692200000000000163e-05
2.643699999999999818e+03 1.696900000000000075e+00 2.047299999999999863e-05
2.801000000000000000e+03 1.693999999999999950e+00 2.451800000000000141e-05
2.958299999999999727e+03 1.691000000000000059e+00 2.909800000000000160e-05
3.115600000000000364e+03 1.687799999999999967e+00 3.425500000000000322e-05
3.272900000000000091e+03 1.684500000000000108e+00 4.003700000000000309e-05
3.430200000000000273e+03 1.681000000000000050e+00 4.649200000000000142e-05
3.587400000000000091e+03 1.677300000000000013e+00 5.367100000000000164e-05
3.744699999999999818e+03 1.673399999999999999e+00 6.163100000000000674e-05
3.902000000000000000e+03 1.669300000000000006e+00 7.043100000000000380e-05
4.059300000000000182e+03 1.665100000000000025e+00 8.013400000000000221e-05
4.216599999999999454e+03 1.660700000000000065e+00 9.080800000000000200e-05
4.373899999999999636e+03 1.655999999999999917e+00 1.025299999999999958e-04
4.531199999999999818e+03 1.651200000000000001e+00 1.153700000000000016e-04
4.688399999999999636e+03 1.646099999999999897e+00 1.294099999999999960e-04
4.845699999999999818e+03 1.640900000000000025e+00 1.447599999999999896e-04
5.003000000000000000e+03 1.635399999999999965e+00 1.614999999999999953e-04
5.160300000000000182e+03 1.629699999999999926e+00 1.797400000000000104e-04
5.317599999999999454e+03 1.623799999999999910e+00 1.996099999999999947e-04
5.474899999999999636e+03 1.617599999999999927e+00 2.212100000000000047e-04
5.632199999999999818e+03 1.611199999999999966e+00 2.446999999999999848e-04
5.789399999999999636e+03 1.604600000000000026e+00 2.702199999999999980e-04
5.946699999999999818e+03 1.597699999999999898e+00 2.979300000000000156e-04
6.104000000000000000e+03 1.590500000000000025e+00 3.280099999999999986e-04
6.261300000000000182e+03 1.583099999999999952e+00 3.606500000000000114e-04
6.418599999999999454e+03 1.575399999999999912e+00 3.960699999999999941e-04
6.575899999999999636e+03 1.567399999999999904e+00 4.344999999999999904e-04
6.733199999999999818e+03 1.559099999999999930e+00 4.761999999999999740e-04
6.890500000000000000e+03 1.550499999999999989e+00 5.214500000000000168e-04
7.047699999999999818e+03 1.541600000000000081e+00 5.705699999999999531e-04
7.205000000000000000e+03 1.532299999999999995e+00 6.239000000000000405e-04
7.362300000000000182e+03 1.522799999999999931e+00 6.818399999999999635e-04
7.519599999999999454e+03 1.512799999999999923e+00 7.448100000000000467e-04
7.676899999999999636e+03 1.502599999999999936e+00 8.132900000000000415e-04
7.834199999999999818e+03 1.491900000000000004e+00 8.878199999999999937e-04
7.991500000000000000e+03 1.480799999999999894e+00 9.690000000000000262e-04
8.148699999999999818e+03 1.469300000000000050e+00 1.057500000000000063e-03
8.306000000000000000e+03 1.457400000000000029e+00 1.154099999999999918e-03
8.463300000000001091e+03 1.445100000000000051e+00 1.259600000000000043e-03
8.620600000000000364e+03 1.432299999999999907e+00 1.374999999999999920e-03
8.777900000000001455e+03 1.419000000000000039e+00 1.501500000000000013e-03
8.935200000000000728e+03 1.405100000000000016e+00 1.640200000000000078e-03
9.092500000000000000e+03 1.390800000000000036e+00 1.792500000000000039e-03
9.249700000000000728e+03 1.375799999999999912e+00 1.960299999999999890e-03
9.407000000000000000e+03 1.360300000000000065e+00 2.145300000000000158e-03
