lambda n k
2.985400000000000000e+04 5.115499999999999936e+00 2.669900000000000051e-02
3.001200000000000000e+04 5.057900000000000063e+00 2.554999999999999979e-02
3.016900000000000000e+04 5.003400000000000070e+00 2.448900000000000035e-02
3.032600000000000000e+04 4.951699999999999768e+00 2.350700000000000012e-02
3.048300000000000000e+04 4.902599999999999625e+00 2.259600000000000150e-02
3.064100000000000000e+04 4.855900000000000105e+00 2.174900000000000097e-02
3.079800000000000000e+04 4.811499999999999666e+00 2.095899999999999846e-02
3.095500000000000000e+04 4.769099999999999895e+00 2.022200000000000039e-02
3.111300000000000000e+04 4.728699999999999903e+00 1.953200000000000075e-02
3.127000000000000000e+04 4.690100000000000158e+00 1.888600000000000001e-02
3.142700000000000000e+04 4.653100000000000236e+00 1.827799999999999911e-02
3.158400000000000000e+04 4.617700000000000138e+00 1.770700000000000052e-02
3.174200000000000000e+04 4.583700000000000330e+00 1.716799999999999923e-02
3.189900000000000000e+04 4.551199999999999690e+00 1.666099999999999873e-02
3.205599999999999636e+04 4.519899999999999807e+00 1.618100000000000094e-02
3.221400000000000000e+04 4.489899999999999558e+00 1.572700000000000140e-02
3.237100000000000364e+04 4.461000000000000298e+00 1.529699999999999983e-02
3.252800000000000000e+04 4.433099999999999596e+00 1.488899999999999946e-02
3.268500000000000364e+04 4.406299999999999883e+00 1.450199999999999927e-02
3.284300000000000000e+04 4.380499999999999616e+00 1.413299999999999973e-02
3.300000000000000000e+04 4.355599999999999916e+00 1.378300000000000011e-02
